season,player_id,player_name,external_availability,external_injury_risk,contract_until,market_value_eur
2026-2027,534,Hume,available,Very Unlikely,2030-06-30,20000000
2026-2027,535,Alderete,available,Not Specifically,2029-06-30,13800000
2026-2027,536,Reinildo,available,,2027-06-30,4099999
2026-2027,537,Seelt,available,Somewhat,2026-06-30,5200000
2026-2027,538,Hjelde,available,Unlikely,2026-06-30,2100000
2026-2027,539,O'Nien,available,Very Unlikely,2027-06-30,945000
2026-2027,540,Masuaku,available,Not Specifically,2026-06-30,2400000
2026-2027,541,Meunier,available,,2026-06-30,1400000
2026-2027,542,E.Le Fée,available,Unlikely,2029-06-30,23000000
2026-2027,543,Diarra,available,Unlikely,2030-06-30,34000000
2026-2027,544,Xhaka,available,Unlikely,2028-06-30,8500000
2026-2027,545,Sadiki,available,Unlikely,2030-06-30,32000000
2026-2027,546,Adingra,available,Not Specifically,2026-06-30,23000000
2026-2027,547,Mundle,available,Somewhat,2028-06-30,7800000
2026-2027,548,Rigg,available,Not Specifically,2030-06-30,24000000
2026-2027,549,Talbi,available,Not Specifically,2030-06-30,23000000
2026-2027,551,Angulo,available,Unlikely,2030-06-30,16500000
2026-2027,552,Brobbey,available,Not Specifically,2029-06-30,32000000
2026-2027,553,Isidor,available,Unlikely,2028-06-30,18500000
2026-2027,554,Van Oevelen,available,Unlikely,2028-06-30,2100000
2026-2027,555,Matthews,available,Very Unlikely,2027-06-30,220000
2026-2027,557,Tzolis,available,Not Specifically,2029-06-30,42000000
2026-2027,558,Schlager,available,,2026-06-30,9500000
